Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Cboot,AVX,08053C104KAT2A,1,0.01,6.75,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 25 V  ESR: 280 mΩ  Package: 0805  
Ccomp,Kemet,C0805C122J5GACTU,1,0.03,6.75,Cap: 1.2 nF  Total Derated Cap: 1.2 nF  VDC: 50 V  ESR: 0 Ω  Package: 0805  
Ccomp2,Yageo,CC0805JRNPO9BN100,1,0.01,6.75,Cap: 10 pF  Total Derated Cap: 10 pF  VDC: 50 V  ESR: 0 Ω  Package: 0805  
Cin,TDK,C3225X7R1H106M250AC,2,0.27,14.7,Cap: 10 µF  Total Derated Cap: 10 µF  VDC: 50 V  ESR: 1 mΩ  Package: 1210  
Cout,MuRata,GRM32ER61C476KE15L,2,0.17,14.7,Cap: 47 µF  Total Derated Cap: 63 µF  VDC: 16 V  ESR: 3.04 mΩ  Package: 1210  
Css,MuRata,GRM033R71A822KA01D,1,0.01,2.08,Cap: 8.2 nF  Total Derated Cap: 8.2 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0201  
D1,Diodes Inc.,B540C-13-F,1,0.19,83.27,Type: Schottky  VRRM: 40 V  Io: 5 A  
L1,Vishay-Dale,IHLP2525CZER8R2M01,1,0.61,75.04,L: 8.2 µH  DCR: 68 mΩ  IDC: 7.5 A  
Rcomp,Vishay-Dale,CRCW040224K9FKED,1,0.01,3,Resistance: 24.9 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rfbb,Vishay-Dale,CRCW04021K96FKED,1,0.01,3,Resistance: 1.96 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rfbt,Vishay-Dale,CRCW040210K2FKED,1,0.01,3,Resistance: 10.2 kΩ  Tolerance: 1.0%  Power: 63 mW  
U1,Texas Instruments,TPS54331DDAR,1,0.713,55.2,